School Name,Website,Campep Degrees,Year,Degree Type,Applicants,Offers,Matriculated,Graduated,Residency,Clinical,Advanced Degrees,Industry,Academic,Other,notes,Address,Latitude,Longitude
Vanderbilt University,https://medschool.vanderbilt.edu/dmp/,"MSc, DMP",2013,MSc,0,0,0,2,2,0,0,0,0,0,,"1301 22nd Ave. South, TVC B-902 Nashville, TN 37232-5671",36.14264,-86.800107
Vanderbilt University,,,2013,PhD,22,9,5,4,0,4,0,0,0,0,Actually a DMP program,,,
Virginia Commonwealth University,http://www.medicalphysics.vcu.edu/shtml/program_statistics.shtml,"MSc, PhD",2008,MSc,27,14,7,0,0,3,0,0,0,2,,401 College Street Richmond VA 23298-0058,37.53931,-77.428536
Virginia Commonwealth University,,,2009,MSc,31,14,7,4,2,3,0,0,0,1,,,,
Virginia Commonwealth University,,,2010,MSc,16,6,3,4,0,0,0,0,0,2,,,,
Virginia Commonwealth University,,,2011,MSc,42,14,4,3,2,0,0,0,0,0,,,,
Virginia Commonwealth University,,,2012,MSc,43,8,1,3,0,0,0,0,0,0,,,,
Virginia Commonwealth University,,,2013,MSc,35,12,5,0,0,0,0,0,0,0,,,,
Virginia Commonwealth University,,,2008,PhD,36,11,7,1,2,0,0,0,0,0,,,,
Virginia Commonwealth University,,,2009,PhD,36,7,7,1,0,0,0,0,1,0,,,,
Virginia Commonwealth University,,,2010,PhD,25,7,3,3,0,0,0,0,1,0,,,,
Virginia Commonwealth University,,,2011,PhD,34,3,1,2,0,0,0,0,0,0,,,,
Virginia Commonwealth University,,,2012,PhD,53,3,1,7,0,0,0,0,0,0,,,,
Wayne State University,http://radiationoncology.med.wayne.edu/wp-content/uploads/2014/03/Graduate-Program-Statistics-2014.pdf,"MSc, PhD",2009,MSc,53,22,12,9,4,3,2,0,0,0,,"4100 John R. Street Detroit, MI 48201",42.352221,-83.057092
Wayne State University,,,2010,MSc,61,35,11,9,8,1,0,0,0,0,,,,
Wayne State University,,,2011,MSc,48,23,12,12,5,7,0,0,0,1,,,,
Wayne State University,,,2012,MSc,57,24,12,9,3,4,0,0,0,2,,,,
Wayne State University,,,2013,MSc,42,22,9,8,3,1,1,2,0,1,,,,
Wayne State University,,,2009,PhD,23,3,1,1,1,0,0,0,0,2,,,,
Wayne State University,,,2010,PhD,15,6,2,2,1,1,0,0,0,0,,,,
Wayne State University,,,2011,PhD,37,8,3,0,0,0,0,0,0,0,,,,
Wayne State University,,,2012,PhD,42,5,2,0,0,0,0,0,0,0,,,,
Wayne State University,,,2013,PhD,30,2,2,1,0,0,0,0,0,1,,,,
Western University,http://www.schulich.uwo.ca/biophysics/graduate/programs/CAMPEP.html,"MSc, PhD",2011,MSc,10,10,10,0,0,0,0,0,0,0,,"University of Western Ontario London, Ontario N6A 5C1",43.008559,-81.263498
Western University,,,2012,MSc,4,4,2,0,0,0,0,0,0,0,,,,
Western University,,,2013,MSc,4,4,4,1,0,0,0,0,0,0,,,,
